PD_0001	H5HT5DSXX_1_9UDI-idt-UMI	Cheracebus	sp.	Callicebus_lugens
PD_0002	H5HT5DSXX_1_21UDI-idt-UMI	Callibella	sp.	Callithrix_jacchus
PD_0003	H5HHTDSXX_1_1UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0004	H5HT5DSXX_1_33UDI-idt-UMI	Ateles	sp.	Ateles_belzebuth
PD_0005	H5HT5DSXX_1_45UDI-idt-UMI	Alouatta	sp.	Alouatta_seniculus
PD_0006	H5HHTDSXX_1_105UDI-idt-UMI	Chiropotes	sp.	Chiropotes_israelita
PD_0007	H5HT5DSXX_1_117UDI-idt-UMI	Cebus	sp.	Cebus_albifrons
PD_0008	H5HT5DSXX_1_129UDI-idt-UMI	Aotus	sp.	Aotus_azarai
PD_0009	H5HT5DSXX_1_13UDI-idt-UMI	Saguinus	sp.	Saguinus_oedipus
PD_0010	H5HT5DSXX_1_25UDI-idt-UMI	Cebuella	sp.	Cebuella_pygmaea
PD_0011	H5HT5DSXX_1_141UDI-idt-UMI	Sapajus	sp.	Cebus_albifrons
PD_0012	H5HHTDSXX_1_37UDI-idt-UMI	Saimiri	sp.	Saimiri_boliviensis
PD_0013	H5HT5DSXX_1_10UDI-idt-UMI	Cebus	sp.	Cebus_albifrons
PD_0014	H5HHTDSXX_1_97UDI-idt-UMI	Plecturocebus	sp.	Callicebus_lugens
PD_0015	H5HHTDSXX_1_109UDI-idt-UMI	Pithecia	sp.	Chiropotes_israelita
PD_0016	H5HHTDSXX_1_121UDI-idt-UMI	Lagothrix	sp.	Lagothrix_lagotricha
PD_0017	H5HHTDSXX_1_133UDI-idt-UMI	Leontocebus	sp.	Saguinus_oedipus
PD_0018	H5HT5DSXX_1_22UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0019	H5HHTDSXX_1_34UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0020	H5HT5DSXX_1_2UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0021	H5HT5DSXX_1_14UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0022	H5HT5DSXX_1_26UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0023	H5HT5DSXX_1_38UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0024	H5HT5DSXX_1_46UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0025	H5HHTDSXX_1_98UDI-idt-UMI	Alouatta	sp.	Alouatta_seniculus
PD_0026	H5HT5DSXX_1_106UDI-idt-UMI	Alouatta	sp.	Alouatta_seniculus
PD_0027	H5HT5DSXX_1_118UDI-idt-UMI	Alouatta	sp.	Alouatta_seniculus
PD_0072	H7LL3DSXX_1_24UDI-idt-UMI	Alouatta	sp.	Alouatta_seniculus
PD_0073	H7LL3DSXX_1_133UDI-idt-UMI	Alouatta	sp.	Alouatta_seniculus
PD_0074	H7LL3DSXX_1_8UDI-idt-UMI	Ateles	sp.	Ateles_belzebuth
PD_0075	H7LL3DSXX_1_2UDI-idt-UMI	Ateles	sp.	Ateles_belzebuth
PD_0076	H7LL3DSXX_1_20UDI-idt-UMI	Ateles	sp.	Ateles_belzebuth
PD_0077	H7LL3DSXX_1_32UDI-idt-UMI	Cebus	sp.	Cebus_albifrons
PD_0078	H7LL3DSXX_1_14UDI-idt-UMI	Cebus	sp.	Cebus_albifrons
PD_0079	H7LL3DSXX_1_26UDI-idt-UMI	Cebus	sp.	Cebus_albifrons
PD_0080	H7LL3DSXX_1_36UDI-idt-UMI	Chiropotes	sp.	Chiropotes_israelita
PD_0081	H7LL3DSXX_1_38UDI-idt-UMI	Chiropotes	sp.	Chiropotes_israelita
PD_0082	H7LL3DSXX_1_48UDI-idt-UMI	Chiropotes	sp.	Chiropotes_israelita
PD_0083	H7LL3DSXX_1_44UDI-idt-UMI	Pithecia	sp.	Chiropotes_israelita
PD_0084	H7LL3DSXX_1_98UDI-idt-UMI	Pithecia	sp.	Chiropotes_israelita
PD_0085	H7LL3DSXX_1_110UDI-idt-UMI	Pithecia	sp.	Chiropotes_israelita
PD_0086	H7LL3DSXX_1_108UDI-idt-UMI	Pithecia	sp.	Chiropotes_israelita
PD_0087	H7LL3DSXX_1_104UDI-idt-UMI	Pithecia	sp.	Chiropotes_israelita
PD_0088	H7LL3DSXX_1_116UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0089	H7LL3DSXX_1_120UDI-idt-UMI	Alouatta	sp.	Alouatta_seniculus
PD_0128	HGKWHDSXX_1_6UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0129	HGLF3DSXX_1_217UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0130	HGLF3DSXX_1_229UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0131	HGLF3DSXX_1_146UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0132	HGLF3DSXX_1_158UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0133	HGLF3DSXX_1_170UDI-idt-UMI	Cacajao	sp.	Cacajao_calvus
PD_0134	HGKWHDSXX_1_18UDI-idt-UMI	Alouatta	sp.	Alouatta_seniculus
PD_0135	HGLF3DSXX_1_182UDI-idt-UMI	Alouatta	sp.	Alouatta_seniculus
PD_0136	HGLFMDSXX_1_114UDI-idt-UMI	Alouatta	sp.	Alouatta_seniculus
PD_0137	HGKWHDSXX_1_30UDI-idt-UMI	Alouatta	sp.	Alouatta_seniculus
